,Product_Location_in_Tree,Product_title,Product_image_URL,Product_brand,Product_Rating,Number_of_Customer_review,Product_price,Product_Dim,Product_ASIN,Product_Item_Model_number,Product_Department,Product_Date_First_Available,Product_manufacturer,Country_Origin,UPSPSC_Code,Product_BSR,Number of sold of in a month,Product Specification,Product Description
0,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Card & ID Cases›Card Cases","Mountain Voyage Minimalist Wallet for Men - Slim RFID Wallet I Scratch Resistant, Credit Card Holder & Money Clip, Easily Removable Money & Cards, Mens Wallets",https://m.media-amazon.com/images/I/61-G-kpQuGL._AC_UX679_.jpg,none,4.6,"20,284",$35.99,0.35 x 2.1 x 3.4 inches; 3.28 Ounces,B0C5SGCG11,MVC 123,mens,"February 23, 2022",Mountain Voyage Co,none,none,#1,none,none,"Mountain Voyage - Army Green Credit Card Wallet for Men
The perfect combination between elegance and functionality
OUR STORY
Mountain Voyage Co. focus on providing state-of-the-art and affordable accessories that are meant to make your life easier, and that combine functionality with style. Our dedication to outstanding craftsmanship, premium materials, and innovative designs ensures our products stand the test of time and will be the perfect accessory for years to come.
SLIM MINIMALIST WALLET FOR EVERY OCCASION
Versatile in use and in style, Mountain Voyage make minimalist, stylish wallets, suitable for all occasions. Our money clip wallet with credit card holder is sleek and attractive but designed with practical use in mind. Delivered in a deluxe black box our slim wallets for men make superb gifts for your anniversary, Christmas, Father’s Day, groomsmen, and other special occasions!
PROTECT YOUR FINANCES WITH A RFID WALLET
In addition to the sleek design, users love our RFID credit card holder for its data protection technology. Built into each wallet is advanced RFID technology which protects your valuable information stored on RFID chips from unauthorized scanning. The RFID blocker technology is tested and approved so you can trust that it will keep your data safe.
Still not convinced – here are the highlights of the product:
Dimensions: 3.4 x 2.1 x 0.35 inches
Material: Aluminum
Convenient Money Clip
RFID Blocking Protection
Slim Minimalist Design
Elegant and Modern
Includes Superb Black Box Packaging
You’ll fall in love instantly with this deluxe slim wallet – order one today!"
1,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Wallets",Buffway Slim Minimalist Front Pocket RFID Blocking Leather Wallets for Men and Women,https://m.media-amazon.com/images/I/81p7HwDZwrL._AC_UY879_.jpg,none,4.6,"50,777",$15.99,0.05 x 3.5 x 4.6 inches; 1.2 Ounces,B0CJLWRH9H,BW-WL1-P,mens,"September 22, 2023",Buffway,none,none,#2,6K+,none,"International products have separate terms, are sold from abroad and may differ from local products, including fit, age ratings, and language of product, labeling or instructions."
2,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Card & ID Cases",Travelambo Front Pocket Minimalist Leather Slim Wallet RFID Blocking Medium Size,https://m.media-amazon.com/images/I/81JzbxYXHzL._AC_UY879_.jpg,none,4.6,"46,149",$9.99,4.1 x 3.3 x 0.2 inches; 10 Ounces,B08H5KFPVR,None,mens,"September 1, 2020",PAVOI,none,none,#2,none,none,"100% Cowhide Leather Wallet
We provide three leather styles for you to choose from: Crosshatch leather, Napa leather and Oil wax leather.
Crosshatch leather is both trendy and stylish, and is currently used by many prestiged leather product brands.
Napa leather renowned for its soft temper, is widely used in wallet production since it was first coined in 1875 in Napa, California.
Vegetable Tanned Leather is a natural and pure leather type which use 100% plant oil without any chemicals during the whole production. Many luxurious leather products also adopt this material for its nature feeling and beautiful look.
RFID Blocking Wallet
Equipped with silver embroidered lining which can block RFID signals, this Travelambo RFID blocking wallet can help you ensure the safety of your ID card and credit/debit card.
This Travelambo front pocket wallet can block RFID signals from cards working at a frequency of 13.56MHz, including:
Credit/debit card
ID card
Driver license
This Travelambo front pocket wallet DOES NOT block RFID signals from cards working at a frequency of 125KHz, including:
Most ID badges
Some hotel/building access cards
Hand Made Minimalist Wallet
Leather product is smooth and soft, sometimes it's easily stretches during machine prodution process. Compared with machine production, we select hand made production for maximum to reduce the rate of leather get stretch. Apart from sewing, which is done with assistance of professional sewing machine, this Travelambo Pront Pocket Wallet is hand made by our experienced craftsmen with the traditional tools: cutting knife, scissor and hammer. We insist every Travelambo wallet arrive to our customer is in original leather shape with good craftsmanship.
True Unisex
The days of men carrying only bifold wallets and women carrying only clutches are long gone. A man can get this slim wallet out from his front pocket in the bar, a woman can also get this mini card holder out from the back pocket of her slim-fit jean in the cafe. It's an Adorable gift for someone you love.
Suitable For Any Occasion
Professional design team and a group of free thinking youngster get together to cerate our every product. We love any simple and beautiful things. We design this wallet aim to bring the users more convenience and safety. Travelambo Minimalist Wallet has compact and convenient design which is a good accessory for your daily life, travel and business situation.
100% Quality Check Before Delivery
Although hand made wallet has lower rate appear defect than machine production wallet. We insist check all finished products ONE BY ONE before packing to ensure good quality condition's product is sent to every customer.
Card Holder Card Holder Card Holder Card Holder Card Holder Card Holder Money Clip
Card Slots 6 6 6 6 6 3
Colors 25 16 12 3 11 13
Lines Crazy Horse Napa Pebble Vintage Super Fiber Crazy Horse
Size 3.3"" X 4.1"" X 0.12"" 3.3"" X 4.1"" X 0.12"" 3.3"" X 4.1"" X 0.12"" 3.3"" X 4.1"" X 0.12"" 3.3"" X 4.1"" X 0.12"" 2.7"" X 4.13"" X 0.12"""
3,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Wallets",RUNBOX Slim Wallet for Men Slim 11 Credit Card Holder Slots Leather Money Clip RFID Blocking Small Thin Red Men's Wallet Bifold Minimalist Front Pocket Large Capacity Gift Box Carbon,https://m.media-amazon.com/images/I/71kGNbTbfUL._AC_SX679_.jpg,none,4.4,"2,429",$11.99,4.4 x 3.15 x 0.5 inches,B0B6ZJJSXM,None,Men,none,RUNBOX,China,none,#4,none,none,"Product Description

In RUNBOX, we always believe that products which can meet the needs of consumers are really great products.So we continue to provide you with good products and post-sales service, and hope this can be recognized by you.
Many Popular Colors
Carbon & Oil style
Front pocket wallet
Upgrade Money clip
Slim Wallet for Men with Money Clip
A Perfect Gift for Men from RUNBOX
SLIM. DURABLE. FASHION.
To slim your pocket, RUNBOX's designers create this slim wallets for men reduces bulk with an efficient minimalistic design that makes everything easier.
Best fits 10-12 credit cards,an ID plus US bills, Total of 11 available card slots (including 2 secret pockets which can take more cards).
There is 1 easy-to-access card slot on the outside for most-used cards so that you need no more shuffle through your wallet, looking for that one card you use almost every day!
11 card slots (Contains an ID window )
1 Quick Access Slots
RFID-blocking
A nice gift box
Leather
RFID-Industry-tested security
All of our wallets are tested by an independent German quality control institute. Our wallets block the most commonly used 13.56 MHz band and protect against data theft by RFID and NFC scanners.
RFID Protection for all cards, except the clear I.D slot. Carry your work I.D, license, transit card with out having to remove the card to scan.
Slim Design
This compact wallet can be easily tucked away into pant front pockets, shirt pockets or inside your jacket without the bulge usually created by bulky wallets. The clever internal layout means you will feel comfortable all day long even with this wallet stowed inside your pocket.
Upgrade Money Clip
By using the stainless money clip, RUNBOX's wallet has enough space for all that anyone needs, yet is still slim and keeps your bills securely.Suitable for gifting your family, friends and relatives on their birthdays, fathers’day, weddings, or other celebrations.
Attention To Detail
We are deeply committed to quality. RUNBOX wallets are made by many years of experienced workers. Our quality control team closely monitor every step – leather selection, cutting, stitching, craftwork and packing.
Slim! Classic Style New! Money Clip Hot! Track Wallet Woo! Classic Wallet Cool! New Wallet
RFID Protection ✓ ✓ ✓ ✓ ✓
ID Window ✓ ✓ ✓ ✓ ✓
Number of Cards 8-11 11 12 10-12 10-12
Material Carbon & Oil Carbon & Oil Carbon & Oil Carbon Carbon & Oil"
4,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Wallets",The Ridge Minimalist Slim Wallet For Men - RFID Blocking Front Pocket Credit Card Holder - Aluminum Metal Small Mens Wallets with Money Clip (Black),https://m.media-amazon.com/images/I/81KJb9RtiML._AC_SX679_.jpg,none,4.6,"40,943",$95.00,2.13 x 0.24 x 3.39 inches,B01M4QYSVM,Parent-CS-MC,Mens,none,No,China,none,#4,500+,none,"Product Description
Play Video
21ST CENTURY WALLET
The Ridge is a minimalist, front pocket wallet that's designed to remain as slim as possible.
1 21ST CENTURY WALLET 2 HOLDS 1-12 CARDS 3 ABOUT THE DESIGN 4 RFID BLOCKING
The Ridge Minimalist Slim Wallet For Men
INTEGRATED CASH STRAP
The cash strap allows you to secure several bills to the outside of your wallet with a proprietary plated-elastic design. The metal plate is designed for enhanced security and aesthetics.
INTEGRATED MONEY CLIP
The money clip allows you to secure several bills to the outside of your wallet in a traditional money clip form. The proprietary metal clip is designed for enhanced security and reliability.
Play Video
The Ridge Minimalist Slim Wallet For Men
HIGH-GRADE MATERIAL

We chose our military-grade materials for their durability and, in turn, created a wallet that’ll last a lifetime guaranteed.
If you ever feel your wallet isn’t functioning properly, you can make a claim and we’ll do our best to make it right. This includes the replacements of elastic, screws, money clip, and cash strap plate. Each purchase of The Ridge is just the beginning of many years of you carrying a better wallet."
5,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Wallets",Sorax Minimalist Slim Wallet for Men - Carbon Fiber Wallets For Men RFID Blocking - Credit Card Holder with Aluminum Money Clip,https://m.media-amazon.com/images/I/71XeVmu06VL._AC_UX679_.jpg,Sorax,4.4,"1,946",$9.95,0.86 x 3 x 4.25 inches; 3.53 Ounces,B09QZ2SPK9,None,unisex-adult,"January 22, 2022",Sorax,none,none,#6,7K+,none,none
6,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Card & ID Cases›Card Cases","FurArt Slim Minimalist Wallet, Front Pocket Wallets, RFID Blocking, Credit Card Holder for Men & Women",https://m.media-amazon.com/images/I/91HqkiLUOsL._AC_UY879_.jpg,none,4.7,"42,429",$8.99,4.72 x 3.15 x 0.12 inches; 2.4 Ounces,B09FF8FDVC,FA-CW-Parent,womens,"July 20, 2018",FurArt,none,none,#2,1K+,none,none
7,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Wallets",GSOIAX Mens Slim Wallet for Men Minimalist Genuine Leather Carbon Fiber Rfid Blocking Cowhide Bifold Credit Card Holder With Gift Box (Carbon Black and Orange),https://m.media-amazon.com/images/I/91UrG3DJsDL._AC_SX679_.jpg,none,4.5,"6,862",$11.65,0.5 x 0.5 x 0.5 inches,B09P3QGR1D,001,Mens,none,GSOIAX,none,none,#7,5K+,none,"Product Description
Slim! Classic Style New! Money Clip Nice! Classic Wallet Woo! Classic Wallet Cool! New Wallet
RFID Protection ✓ ✓ ✓ ✓ ✓
ID Window ✓ ✓ ✓ ✓ ✓
Number of Cards 8-11 8-11 8-11 8-11 8-11
Design Carbon Leather Carbon Leather Carbon Leather Leather Carbon Leather"
8,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Wallets",umoven Wallet for Men - with Money Clip Slim Leather Slots Credit Card Holder RFID Blocking Bifold Minimalist Wallet with Gift Box,https://m.media-amazon.com/images/I/51LUQ-knBbL._AC_.jpg,none,4.6,"1,842",$36.99,1 x 3 x 2 inches,B0BQMCXQSP,003,unisex-adult,none,TXCKEE,none,none,#8,none,none,Product Description
9,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Money Clips",TRAVANDO Mens Slim Wallet with Money Clip AUSTIN RFID Blocking Bifold Credit Card Holder for Men with Gift Box,https://m.media-amazon.com/images/I/819wcaGxSEL._AC_UY879_.jpg,none,4.4,"114,934",$29.95,4.3 x 3.1 x 0.8 inches; 1.58 Ounces,B09CNRC22H,None,mens,"August 15, 2021",none,none,none,#2,3K+,none,none
10,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Card & ID Cases›Business Card Cases",RUNBOX Men's Wallets Slim Rfid Leather 2 ID Window With Gift Box Men's Accessories,https://m.media-amazon.com/images/I/71CHmL6xZqL._AC_SX679_.jpg,none,4.5,"3,039",$16.99,0.5 x 0.5 x 0.5 inches,B09M3Z63QP,HY03,Men,none,RUNBOX,China,none,#1,4K+,none,"Product Description
ABOUT US
A Gift for HIM in your heart
Bifold 15 slots wallet for men

2 ID windows slim, leather, cash pocket, bifold style, up to 15 slots
Play Video
Handmade and masterpiece
Unlike general assembly line products, we prefer to make each of our wallets an excellent work by using top quality leather and making them by hand.
Better and more prestigious
More minimalist design can cope with your leisure time.
Slim and Small
13 slots and 2 ID window, RFID blocking
Gifts Ideas
A gift for birthday, anniversaries, Fathers Day, Christmas and valentine's day other special day. Sometimes a gift for yourself."
11,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Wallets","Real Leather Mens Bifold Wallet RFID Blocking Slim Minimalist Front Pocket - Thin & Stylish with ID Window (Crazy Horse, Coffee)",https://m.media-amazon.com/images/I/810js0CyQFL._AC_SX679_.jpg,none,4.6,"5,127",$14.99,0.75 x 3.25 x 4 inches,B08XY94FXM,PRW-1457,mens,none,none,India,none,#11,4K+,none,"Product Description
WISE OWL ACCESSORIES is a culmination of an effort to provide affordable fashion accessories in high quality, made from Real Top Grain Real leather.
We always strive to keep the natural aesthetics of the leather intact when making our products. Touch, smell and feel are vital to any leather products, and if any of these elements are missing from the product, then it takes away its luxurious appeal. We always strive to have these elements in check at all the time, so that when you receive your product you will love its smell and touch and enjoy its softness.
We start right from the beginning of the supply chain. Raw leathers are sourced from local abattoirs, then graded and processed accordingly. We always maintain high standards in Quality and only the fine, Top Grain selection leathers make it through to the final product.
MINIMALIST SLIM BIFOLD WALLETS BY WISE OWL ACCESSORIES
Whether you’re a Marie Kondo devotee or simply can’t stand the look of household clutter, there’s no denying that minimalism is having a moment. Even if you don’t consider yourself much of a neat freak, having a little more organization in your life is rarely a bad thing. Sure, it won’t make every part of your life less hectic, but opting for a minimalist slim wallet instead of a bulky billfold is certainly a good start when it comes to decluttering. A slim wallet slides easily into your pocket, only carries what you need, and makes it easier to access your cards and ID.
If you’re looking for a slim wallet to fit your lifestyle, you have landed at the right place!
REAL LEATHER
All of our wallets are made with the best of materials and are 100% TOP GRAIN REAL LEATHER, and shall turn softer and develop a unique patina with everyday use.
REAL LEATHER
STRONG AND DURABLE
HANDCRAFTED
PERFECT GIFT"
