,Product_Location_in_Tree,Product_title,Product_image_URL,Product_brand,Product_Rating,Number_of_Customer_review,Product_price,Product_About_Item,Product_Dim,Product_ASIN,Product_Item_Model_number,Product_Department,Product_Date_First_Available,Product_Special,Product_manufacturer,Country_Origin,UPSPSC_Code,Product_BSR,Number of sold of in a month,Product Specification,Product Description
0,"Clothing, Shoes & Jewelry > Men > Accessories > Wallets, Card Cases & Money Organizers > Wallets","Mountain Voyage Minimalist Wallet for Men - Slim RFID Wallet I Scratch Resistant, Credit Card Holder & Money Clip, Easily Removable Money & Cards, Mens Wallets",https://m.media-amazon.com/images/I/61XF8LJF0cL._AC_UX679_.jpg,MountainVoyageCo,4.6,"20,519",$35.99,"Elastic closure
Contemporary Mens Wallets For All Occasions - Looking for a minimalist and stylish credit card holder? Mountain Voyage men’s wallets are designed with both at the forefront. An elegant, practical and extremely versatile modern wallet for day-to-day use, vacations, work, and even occasions where you’re dressed to impress
Slim Wallet With Plenty Of Room - Say goodbye to stuffing bulky wallets into your pockets. This ergonomic, lightweight card wallet measures only 3.4 x 2.1 x 0.35 inches yet holds up to 15 cards and 8 bills! It slips seamlessly into your jeans, suit trousers, blazer, or shorts pockets
RFID Card Holder For Data Protection - Packed into this compact, slim wallet for men is state-of-the-art RFID blocking technology to block thieves from scanning and accessing your credit cards and personal information. Trust in this Mountain Voyage wallet to keep your finances and data protected
Perfect Gentleman’s Accessory - With a sleek color, modern metallic elements, practical money clip and plenty of room to fit all your cards – this card holder is the perfect gentleman's accessory. The minimal wallet fits all your necessary cash and cards and is a must for everyday business or casual look
Deluxe Metal Wallet - Constructed from quality aluminum with rustproof metal finishes, our stylish wallets for men are made from premium materials, with outstanding manufacturing. Durable, scratch-resistant and long-lasting; the mens minimalist wallet will last for years. To prove our faith in the excellency of our design, we offer a 2-year manufacture limited warranty",0.35 x 2.1 x 3.4 inches; 3.28 Ounces,B0C5SGCG11,MVC 123,Mens,"February 23, 2022",none,Mountain Voyage Co,none,none,#1,none,none,"Mountain Voyage - Army Green Credit Card Wallet for Men
The perfect combination between elegance and functionality
OUR STORY
Mountain Voyage Co. focus on providing state-of-the-art and affordable accessories that are meant to make your life easier, and that combine functionality with style. Our dedication to outstanding craftsmanship, premium materials, and innovative designs ensures our products stand the test of time and will be the perfect accessory for years to come.
SLIM MINIMALIST WALLET FOR EVERY OCCASION
Versatile in use and in style, Mountain Voyage make minimalist, stylish wallets, suitable for all occasions. Our money clip wallet with credit card holder is sleek and attractive but designed with practical use in mind. Delivered in a deluxe black box our slim wallets for men make superb gifts for your anniversary, Christmas, Father’s Day, groomsmen, and other special occasions!
PROTECT YOUR FINANCES WITH A RFID WALLET
In addition to the sleek design, users love our RFID credit card holder for its data protection technology. Built into each wallet is advanced RFID technology which protects your valuable information stored on RFID chips from unauthorized scanning. The RFID blocker technology is tested and approved so you can trust that it will keep your data safe.
Still not convinced – here are the highlights of the product:
Dimensions: 3.4 x 2.1 x 0.35 inches
Material: Aluminum
Convenient Money Clip
RFID Blocking Protection
Slim Minimalist Design
Elegant and Modern
Includes Superb Black Box Packaging
You’ll fall in love instantly with this deluxe slim wallet – order one today!"
1,"Clothing, Shoes & Jewelry > Men > Accessories > Wallets, Card Cases & Money Organizers > Wallets",Buffway Slim Minimalist Front Pocket RFID Blocking Leather Wallets for Men and Women - Cross Black,https://m.media-amazon.com/images/I/81p7HwDZwrL._AC_SY879_.jpg,Buffway,4.6,"98,394",$15.99,"STYLISHLY SMALL, SLIM and DISCREET: Measuring just 3 1/8"" x 4 7/16"" x 1/9"", our RFID front pocket slim wallet is super thin and modernly slim. It's the minimalist wallet that fits perfectly in your pocket, purse or travel pack.
PLENTY OF ROOM: 8 slots easily load your driver's license,credit cards,debit cards and membership cards, making your work and travel more convenient.
EFFECTIVELY BLOCKS RFID SIGNALS: Outfitted with advanced RDIF blocking technology, these slim wallets for men and women block electronic signals to keep your identity protected while you travel, shop or explore.
MADE FROM LEATHER: Crafted out of leather, our minimalist wallet sleeve combines luxurious style and the trends of today with functionality and durability you can depend on when traveling, shopping, etc.
UNISEX; FAVORED BY MEN and WOMEN: Given their sleek design and smooth leather construction, these RFID sleeves are popular slim wallets for women and men. They make great gift ideas for the travelers in your life!",7 x 4 x 8 inches,B079DCW7GB,BW-WL-CO-BL,mens,none,none,No,China,none,#2,none,none,"Product Description
Most RFID blocking sleeves are bulky & difficult to carry when traveling, but this one has been designed with the modern traveler in mind.
Extra slim, lightweight & perfectly portable, our RFID blocking minimalist wallet is preferred among men & women travelers looking to lighten their load while still protecting their identity, credit cards, passport cards, licenses, etc.
Plenty of Room
The Buffway Wallet Features 8 Slot Compartments - Plenty of Room!
✔ 4 slots for holding credit cards, debit cards, bank cards, passport cards
✔ 1 clear window slot with finger glide for ID, work badge or driver's license
✔ 2 side-slip pockets for business cards, membership cards, train cards, etc
✔ 1 middle pocket for cash bills, tickets, receipts, coupons, notes & so on
Minimalist Slim Wallet Specifications:
✔ 3 1/8"" x 4 7/16"" (1/8” thickness without contents)
✔ Extremely Thin & Lightweight: 1.05oz
RFID Blocking
ABOUT OUR INTEGRATED RFID BLOCKING TECHNOLOGY:
We want to make sure your identity is safe when out traveling, shopping & getting things done.
This is why we've equipped our genuine leather minimalist wallet with a protective layer that blocks 13-14Mhz electronic signals trying to retrieve your personal information.
Thieves use these signaling devices to steal credit card numbers, expiration dates, identifiable details & so much more.
Using an RFID blocking wallet like ours is the easiest & most affordable way to ensure your pertinent info is safe & secure. Though it effectively guards against common radio frequencies, our id window minimalist wallet doesn't have the ability to block 125 KHz signals such as those for hotel room keys & access cards.
Wallets for Men & Women
No other front pocket slim wallet covers all the bases like this one. Don't let this limited-time deal slip away. Order your Buffway RFID Blocking Wallet Sleeve today!
Alaska Carbon Fiber Cross Lichee Sahara Sand
Style Minimalist Minimalist Minimalist Minimalist Minimalist Minimalist
Leather ✓ ✓ ✓ ✓ ✓ ✓
Capacity 7 Card Slots, 1 ID Window 7 Card Slots, 1 ID Window 7 Card Slots, 1 ID Window 7 Card Slots, 1 ID Window 7 Card Slots, 1 ID Window 7 Card Slots, 1 ID Window
Additional Colors ✓ ✓ ✓ ✓ ✓ ✓
Multiple colors Yes Yes Yes Yes Yes Yes
Buffway Mens Belt Buffway Mens Belt Buffway Mens Belt Buffway Mens Belt Buffway Mens Belt Buffway Mens Belt
Leather Full Grain Leather Full Grain Leather Full Grain Leather Full Grain Leather Full Grain Leather Full Grain Leather
Buckle GUN and Brushed GUN and Brushed GUN and Brushed GUN and Brushed GUN and Brushed GUN and Brushed
Belt Width 1 9/16""(40mm) 1 9/16""(40mm) 1 9/16""(40mm) 1 9/16""(40mm) 1 9/16""(40mm) 1 9/16""(40mm)
Color Black Burgundy Coffee Rio Red Navy Blue Bright Brown
Size 30""~56"" 30""~56"" 30""~56"" 30""~56"" 30""~56"" 30""~56"""
2,"Clothing, Shoes & Jewelry > Men > Accessories > Wallets, Card Cases & Money Organizers > Wallets",Travelambo Front Pocket Minimalist Leather Slim Wallet RFID Blocking Medium Size,https://m.media-amazon.com/images/I/81JzbxYXHzL._AC_UY879_.jpg,Travelambo,4.6,"46,302",$9.99,"Leather lining
Dry Cloth Clean
Our quality protection covers any defect caused during product production and delivery. We can offer you full refund or free replacement, whichever is at your most convenience.
SUPER MINIMALIST & SLIM: only 0.12"" thick, sizing 3.3"" X 4.1"" X 0.12"" extremely convenient to be carried around in your front or back pocket. 100% GENUINE LEATHER: soft and durable.
RFID BLOCKING TESTED & APPROVED BY INDEPENDENT LAB TESTS. Our wallets have been tested for 13.56 MHz Frequency in which our credit cards, debit cards, driver license and ID cards operate. PLEASE BE NOTED THAT the signal of some ID badge, access cards and hotel room cards which operates in 142 KHz, can not be blocked by this wallet.
ENHANCES PERSONAL SECURITY: We leverage top RFID technology to block RFID signals used to electronically scan your wallet as someone passes by unnoticed. This keeps your vital information in driver license, debit cards and credit cards from being stolen.
P FUNCTIONALITY: Our RFID wallet not only offers security, it's also very functional. It features 6 card slots for you to place your most frequently used cards.",4.1 x 3.3 x 0.2 inches; 10 Ounces,B08H5KFPVR,None,mens,"September 1, 2020",none,PAVOI,none,none,#3,none,none,"100% Cowhide Leather Wallet
We provide three leather styles for you to choose from: Crosshatch leather, Napa leather and Oil wax leather.
Crosshatch leather is both trendy and stylish, and is currently used by many prestiged leather product brands.
Napa leather renowned for its soft temper, is widely used in wallet production since it was first coined in 1875 in Napa, California.
Vegetable Tanned Leather is a natural and pure leather type which use 100% plant oil without any chemicals during the whole production. Many luxurious leather products also adopt this material for its natural feeling and beautiful look.
RFID Blocking Wallet
Equipped with silver embroidered lining which can block RFID signals, this Travelambo RFID blocking wallet can help you ensure the safety of your ID card and credit/debit card.
This Travelambo front pocket wallet can block RFID signals from cards working at a frequency of 13.56MHz, including:
Credit/debit card
ID card
Driver license
This Travelambo front pocket wallet DOES NOT block RFID signals from cards working at a frequency of 125KHz, including:
Most ID badges
Some hotel/building access cards
Hand Made Minimalist Wallet
Leather product is smooth and soft, sometimes it easily stretches during machine production process. Compared with machine production, we select hand made production for maximum to reduce the rate of leather get stretch. Apart from sewing, which is done with the assistance of professional sewing machine, this Travelambo front pocket wallet is hand made by our experienced craftsmen with the traditional tools: cutting knife, scissor and hammer. We insist that every Travelambo wallet arrive to our customer is in original leather shape with good craftsmanship.
True Unisex
The days of men carrying only bifold wallets and women carrying only clutches are long gone. A man can get this slim wallet out from his front pocket in the bar, a woman can also get this mini card holder out from the back pocket of her slim-fit jeans in the cafe. It's an Adorable gift for someone you love.
Suitable For Any Occasion
Professional design team and a group of free thinking youngsters get together to create our every product. We love any simple and beautiful things. We designed this wallet aim to bring the users more convenience and security. Travelambo Minimalist Wallet has compact and convenient design which is a good accessory for your daily life, travel and business situation.
100% Quality Check Before Delivery
Although hand made wallet has lower rate appear defect than machine production wallet. We insist on check all finished products ONE BY ONE before packing to ensure good quality condition's product is sent to every customer.
Card Holder Card Holder Card Holder Card Holder Card Holder Card Holder Money Clip
Card Slots 6 6 6 6 6 3
Colors 25 16 12 3 11 13
Lines Crazy Horse Napa Pebble Vintage Super Fiber Crazy Horse
Size 3.3"" X 4.1"" X 0.12"" 3.3"" X 4.1"" X 0.12"" 3.3"" X 4.1"" X 0.12"" 3.3"" X 4.1"" X 0.12"" 3.3"" X 4.1"" X 0.12"" 2.7"" X 4.13"" X 0.12"""
3,"Clothing, Shoes & Jewelry > Men > Accessories > Wallets, Card Cases & Money Organizers > Wallets",RUNBOX Slim Wallet for Men Slim 11 Credit Card Holder Slots Leather Money Clip RFID Blocking Small Thin Red Men's Wallet Bifold Minimalist Front Pocket Large Capacity Gift Box Carbon,https://m.media-amazon.com/images/I/71kGNbTbfUL._AC_SX679_.jpg,RUNBOX,4.4,"2,573",$11.99,"Slim Wallet for Men - The Minimalist wallet being 1/2 inches thicks, sized 4.4"" x 3.1"" with money clip has 11 card slots which can store up to 12 cards. The thin wallet for men perfectly fits in your front pocket and well-suited for everyday carry as a lapacity slim wallet.
Rfid Blocking Protection-This rfid wallet for men is tested by an independent German quality control institute, specifically to block 13.56 MHz or higher RFID signals and protect against data theft by RFID scanners.
Stylish & Practical -RUNBOX mens wallet only use the finest leathers to make smart and stylish wallets. This small wallet using popular patterns and clean line to fit your pocket. We convience that only a quality mini wallet can satisfy and impress every aspiring men.
Lifetime Guarantee - We attached great importance to the quality of the bifold wallet and provide a lifetime warranty. Should you have any quality problems with RUNBOX credit card wallet, you can contact us and get a 100% refund. We’ll respond within 24 hours.
Perfect Gifts for Him-This money clip wallets for men comes in classy gift box package. It's a good idea to send the mens wallets as the gifts in birthday, anniversaries, Fathers Day, Christmas and other special occasions to someone you love.",4.4 x 3.15 x 0.5 inches,B0B6ZJJSXM,None,Men,none,none,RUNBOX,China,none,#4,none,none,"Product Description

In RUNBOX, we always believe that products which can meet the needs of consumers are really great products.So we continue to provide you with good products and post-sales service, and hope this can be recognized by you.
Many Popular Colors
Carbon & Oil style
Front pocket wallet
Upgrade Money clip
Slim Wallet for Men with Money Clip
A Perfect Gift for Men from RUNBOX
SLIM. DURABLE. FASHION.
To slim your pocket, RUNBOX's designers create this slim wallets for men reduces bulk with an efficient minimalistic design that makes everything easier.
Best fits 10-12 credit cards,an ID plus US bills, Total of 11 available card slots (including 2 secret pockets which can take more cards).
There is 1 easy-to-access card slot on the outside for most-used cards so that you need no more shuffle through your wallet, looking for that one card you use almost every day!
11 card slots (Contains an ID window )
1 Quick Access Slots
RFID-blocking
A nice gift box
Leather
RFID-Industry-tested security
All of our wallets are tested by an independent German quality control institute. Our wallets block the most commonly used 13.56 MHz band and protect against data theft by RFID and NFC scanners.
RFID Protection for all cards, except the clear I.D slot. Carry your work I.D, license, transit card with out having to remove the card to scan.
Slim Design
This compact wallet can be easily tucked away into pant front pockets, shirt pockets or inside your jacket without the bulge usually created by bulky wallets. The clever internal layout means you will feel comfortable all day long even with this wallet stowed inside your pocket.
Upgrade Money Clip
By using the stainless money clip, RUNBOX's wallet has enough space for all that anyone needs, yet is still slim and keeps your bills securely.Suitable for gifting your family, friends and relatives on their birthdays, fathers’day, weddings, or other celebrations.
Attention To Detail
We are deeply committed to quality. RUNBOX wallets are made by many years of experienced workers. Our quality control team closely monitor every step – leather selection, cutting, stitching, craftwork and packing.
Slim! Classic Style New! Money Clip Hot! Track Wallet Woo! Classic Wallet Cool! New Wallet
RFID Protection ✓ ✓ ✓ ✓ ✓
ID Window ✓ ✓ ✓ ✓ ✓
Number of Cards 8-11 11 12 10-12 10-12
Material Carbon & Oil Carbon & Oil Carbon & Oil Carbon Carbon & Oil"
4,"Clothing, Shoes & Jewelry > Men > Accessories > Wallets, Card Cases & Money Organizers > Wallets",Sorax Minimalist Slim Wallet for Men - Carbon Fiber Wallets For Men RFID Blocking - Credit Card Holder with Aluminum Money Clip,https://m.media-amazon.com/images/I/71XeVmu06VL._AC_UX679_.jpg,Sorax,4.4,"2,038",$9.95,"Aluminum lining
Wet Wipe Clean
Modern: The wallet for men RFID blocking combines small design, anti-scratch design, and the latest trends in blocking technology. It's a minimalistic rigid wallet with huge potential
Pocket Ready: This metal money clip with card holder fits in almost any pocket a man might have. The men wallet minimalist offers 12 slots for credit cards and space for 9 bank notes
Compact: This ultra slim RFID wallet offers a compact alternative to wallets that seem to expand. The slim wallets for men limit how big a wallet can grow without feeling small
Anti-Theft: The carbon fiber wallet is both low profile and RFID blocking to prevent credit card theft. This protection in tactical wallet size ensures the bearer can go anywhere without worries
Gift: These credit card holders with RFID blocking make great gifts. The carbon fiber slim wallet makes an amazing gift for dads, husbands, and brothers for any occasion",0.86 x 3 x 4.25 inches; 3.53 Ounces,B09QZ2SPK9,None,unisex-adult,"January 22, 2022",none,Sorax,none,none,#5,none,none,none
5,"Clothing, Shoes & Jewelry > Men > Accessories > Wallets, Card Cases & Money Organizers > Wallets",RUNBOX Men's Wallets Slim Rfid Leather 2 ID Window With Gift Box Men's Accessories,https://m.media-amazon.com/images/I/71CHmL6xZqL._AC_SX679_.jpg,RUNBOX,4.5,"3,088",$16.99,"【Large capacity design】- This wallet for men specially designed for people who have more cards and need 2 ID displays. Measuring as 4.3x3.2x0.6 inches and up to many card slots,also slim and small.
【Durable surface】- Our leather wallets are pressed with high quality 3 layers leather, which is more durable than 2 layers leather wallets. The surface of the leather is made more scratch-resistant by special treatment, which can effectively prevent small scratches caused by keys and buttons in life.
【RFID blocking】- Our wallets are equipped with advanced RFID SECURE Technology, a unique metal composite, engineered specifically to block 13.56 MHz or higher RFID signals and protect the valuable information stored on RFID chips from unauthorized scans. License and ID cards will be protected effectively. Blocking the 13.56 MHz band and protect against data theft by RFID scanners.
【Elite features】- 2 ID windows (DL & Other ID Cards) and 2 quick slots allow for quick access when traveling or at the store /working place. With many card slots and 2 more slots behind them, it’s easy to carry all your important cards, meet all your daily needs.
【Gift Boxing】- The wallet comes in classy gift packaging. It’s a perfect present for birthday, anniversaries, Father's Day, Christmas and other special occasions, so you can easily gift it to someone you love.",0.5 x 0.5 x 0.5 inches,B09M3Z63QP,HY03,Men,none,none,RUNBOX,China,none,#6,none,none,"Product Description
ABOUT US
A Gift for HIM in your heart
Bifold 15 slots wallet for men

2 ID windows slim, leather, cash pocket, bifold style, up to 15 slots
Play Video
Handmade and masterpiece
Unlike general assembly line products, we prefer to make each of our wallets an excellent work by using top quality leather and making them by hand.
Better and more prestigious
More minimalist design can cope with your leisure time.
Slim and Small
13 slots and 2 ID window, RFID blocking
Gifts Ideas
A gift for birthday, anniversaries, Fathers Day, Christmas and valentine's day other special day. Sometimes a gift for yourself."
6,"Clothing, Shoes & Jewelry > Men > Accessories > Wallets, Card Cases & Money Organizers > Wallets",TRAVANDO Mens Slim Wallet with Money Clip AUSTIN RFID Blocking Bifold Credit Card Holder for Men with Gift Box,https://m.media-amazon.com/images/I/819wcaGxSEL._AC_UY879_.jpg,TRAVANDO,4.4,"115,127",$29.95,"RFID Protected lining
Bifold closure
Dry Cloth Clean
𝗙𝗨𝗡𝗖𝗧𝗜𝗢𝗡𝗔𝗟 & 𝗦𝗟𝗜𝗠 – The designer wallet offers 11 card pockets; The outside notch allows you to push out the cards easily; Ideal for carrying business, credit cards and bills
𝗜𝗡𝗗𝗨𝗦𝗧𝗥𝗬-𝗧𝗘𝗦𝗧𝗘𝗗 𝗦𝗘𝗖𝗨𝗥𝗜𝗧𝗬 - Tested by an independent German quality control institute. Our wallets block the 13.56 MHz band and protect against data theft by RFID scanners
𝗜𝗡𝗧𝗘𝗚𝗥𝗔𝗧𝗘𝗗 𝗠𝗢𝗡𝗘𝗬 𝗖𝗟𝗜𝗣 - The metal money clip allows you to clip several bills inside your wallet
𝗥𝗘𝗙𝗜𝗡𝗘𝗗 & 𝗦𝗧𝗬𝗟𝗜𝗦𝗛 - Designed in Germany to best combine elegance, quality and convenience
𝗦𝗟𝗜𝗠 𝗗𝗢𝗪𝗡 𝗬𝗢𝗨𝗥 𝗣𝗢𝗖𝗞𝗘𝗧 – We kept the dimensions of our slim wallet to 4.5"" x 3.1"" x 0.6"". It will fit in your pocket perfectly without bulging out",4.3 x 3.1 x 0.8 inches; 1.58 Ounces,B09CNRC22H,None,mens,"August 15, 2021",none,none,none,none,#7,none,none,none
7,"Clothing, Shoes & Jewelry > Men > Accessories > Wallets, Card Cases & Money Organizers > Wallets",Wallet for Men-Genuine Leather RFID Blocking Bifold Stylish Wallet With 2 ID Window,https://m.media-amazon.com/images/I/81ZczVpSuSL._AC_UX679_.jpg,HIMI,4.7,"60,049",$17.99,"Imported
Leather lining
No Closure closure
Dry Cloth Clean
GENUINE LEATHER: Precious Genuine Vegetable Tanned Cowhide Leather with nice and smooth texture, really soft & comfortable to touch. Vegetable tanned Leather is a luxury leather. It uses natural ingredients instead of chemicals, so it is environmentally friendly.
ELITE FEATURES: 2 ID windows (DL & Other ID Cards) allow for quick access when traveling or at the store /working place. With 8 card slots and 2 more slots behind them, it’s easy to carry all your important cards, meet all your daily needs.
RFID BLOCKING SECURITY: Our wallets are equipped with advanced RFID SECURE Technology, a unique metal composite, engineered specifically to block 13.56 MHz or higher RFID signals and protect the valuable information stored on RFID chips from unauthorized scans.",None,B0895FKB9P,None,mens,"May 26, 2020",none,none,none,none,#8,none,none,"This Leather Wallet is made from genuine cowhide leather, compact and stylish, it's got space to hold all your things without cramming your pocket full.
RFID Blocking Thanks to the latest in RFID blocking technology this wallet will keep your cards secure.
Protect your cards from unauthorized scans
Block RFID signals from cards working at a frequency of 13.56MHz:
1. Credit/debit card
2. ID card
3. Driver license
Except block RFID signals from cards working at a frequency of 125KHz:
1. Older prox cards
2. HID 125 khz
3. Some hotel /building access cards
Genuine Leather Wallet
Precious genuine vegetable tanned cowhide leather with nice and smooth texture, really soft & comfortable to touch.
Vegetable tanned Leather is a luxury leather. It uses natural ingredients instead of chemicals, 100% pure natural.
Based on the craftsmanship and careful use of traditional techniques developed over centuries, the vegetable tanning process results in leather with a distinct appearance and unmatched durability.
Wallets made of vegetable tanned leather, get more comfortable the longer you use them.
Great Capacity
-- 10 card slots inside ( that hold 10-18 credit cards)
-- 2 currency pockets for all your cash
-- 2 ID windows (for Driver License & Work/School ID/Passport Card)
Compact Size: L 4.5’’ x W 3.5’’ x H 0.4’’ (folded, empty)
Well hand made wallet
We are deeply committed to quality!
Compared with machine sewing, hand made stitching wallet for maximum to reduce the rate of leather get stretch.
Our wallets are made by our many years of experienced craftsmen, great stitching and quality leather made the wallet more durable.
One wallet is enough!
HIMI wallet is easy to carry all your important cards and banknote, meet all your daily needs.
Stylish & functional, suitable for any occasion
This wallet is super stylish and absolutely functional.
Designed with simple appearance, it is an ideal for both of leisere life and business suit.
Great gift
HIMI wallets come nicely packed in an adorable gift box, so it's a great gift for yourself or someone you love on their special day. Such as Birthdays, Anniversaries, Father's Day, Christmas and other Special Occasions."
8,"Clothing, Shoes & Jewelry > Men > Accessories > Wallets, Card Cases & Money Organizers > Wallets","Real Leather Mens Bifold Wallet RFID Blocking Slim Minimalist Front Pocket - Thin & Stylish with ID Window (Crazy Horse, Coffee)",https://m.media-amazon.com/images/I/810js0CyQFL._AC_SX679_.jpg,WiseOwlAccessories,4.6,"5,226",$14.99,"<p>★REAL LEATHER: This wallet is MADE IN INDIA and comes in 2 leather qualities, namely Nappa and Crazy Horse. Nappa leather is conventional drum dyed leather which is finished with natural pigments to attain a smooth and buttery touch, while Crazy Horse is vegetable tanned and sprayed with oils and waxes to give a distressed look with warm and soft touch. </p>
<p>★ELITE FEATURES: ID windows allow for quick access when traveling or at the store /working place. With 5 card slots and 2 more slots behind them, it’s easy to carry all your important cards, meet all your daily needs.</p>
<p>★RFID BLOCKING ANTI THEFT SECURITY: Our wallets are anti theft, equipped with advanced RFID SECURE Technology, a unique metal composite, engineered specifically to block 13.56 MHz or higher RFID signals and protect the valuable information stored on RFID chips from unauthorised scans and make them anti theft.</p>
<p>★COMPACT DESIGN: Making this bifold superb for travel, and everyday use, keeping cards safe and organized! It holds 8+ cards, and lots of cash!</p>
<p>★GIFT BOX PACKING: It is one of the most special gifts for Groomsmen, Birthdays, Anniversaries, Father's Day, Christmas and other Special Occasions.</p>",0.75 x 3.25 x 4 inches,B08XY94FXM,PRW-1457,mens,none,none,none,India,none,#9,none,none,"Product Description
WISE OWL ACCESSORIES is a culmination of an effort to provide affordable fashion accessories in high quality, made from Real Top Grain Real leather.
We always strive to keep the natural aesthetics of the leather intact when making our products. Touch, smell and feel are vital to any leather products, and if any of these elements are missing from the product, then it takes away its luxurious appeal. We always strive to have these elements in check at all the time, so that when you receive your product you will love its smell and touch and enjoy its softness.
We start right from the beginning of the supply chain. Raw leathers are sourced from local abattoirs, then graded and processed accordingly. We always maintain high standards in Quality and only the fine, Top Grain selection leathers make it through to the final product.
MINIMALIST SLIM BIFOLD WALLETS BY WISE OWL ACCESSORIES
Whether you’re a Marie Kondo devotee or simply can’t stand the look of household clutter, there’s no denying that minimalism is having a moment. Even if you don’t consider yourself much of a neat freak, having a little more organization in your life is rarely a bad thing. Sure, it won’t make every part of your life less hectic, but opting for a minimalist slim wallet instead of a bulky billfold is certainly a good start when it comes to decluttering. A slim wallet slides easily into your pocket, only carries what you need, and makes it easier to access your cards and ID.
If you’re looking for a slim wallet to fit your lifestyle, you have landed at the right place!
REAL LEATHER
All of our wallets are made with the best of materials and are 100% TOP GRAIN REAL LEATHER, and shall turn softer and develop a unique patina with everyday use.
REAL LEATHER
STRONG AND DURABLE
HANDCRAFTED
PERFECT GIFT"
9,"Clothing, Shoes & Jewelry > Men > Accessories > Wallets, Card Cases & Money Organizers > Wallets",Wallet for Men - with Money Clip Slim Leather Slots Credit Card Holder RFID Blocking Bifold Minimalist Wallet with Gift Box,https://m.media-amazon.com/images/I/51LUQ-knBbL._AC_.jpg,umoven,4.6,"1,734",$36.99,"【Newly Design】: High quality PU that is made for the cover of the wallet was treated to be water-resistant. The aluminum wallet chamber make of premium metal with a smooth eject pop up feature, using the latest ergonomic design, easy slide the side button of the metal wallet and get the neat pop-up cards. Inner magnet in the PU cover allowing you to attach the cover and the chamber magnetically.
【Enough Space】: 12 Cards can be inseted in this lightweight and compact aluminum wallet, with 3-4 additional cards (1 ID windows included) in the PU cover, another 6 cards can be stored in the aluminum champer of the wallet, 1 or 2 cards can be inserted in outside of the aluminum champer.
【Slim & Practial】: On the inside of the minimalist wallet, we have designed an ID Card Holder slot, which allows you to swipe the card without removing the card. It can be used to install ID card, work card, access card, traffic card, etc. use. A Metal clip was designed for carrying cash, 2 holes was designed on both side of the wallet to connect lanyard to bulit a double protection for your wallet.
COMCATION【RFID Blocking】: Built in RFID chip will shield your credit cards debit card, and driving license from unknown scanning device, to protect your private property at most.
IDERREST【Best Gift Ever】: This designed wallet is unisex, which was also deliveried with a beautiful package. It is the best choice for popular slim wallets for women and men. Minimalist Wallet provide great gift ideas in your life! This is the perfect wallet for anyone, suitable for your own use or as a gift to friends, parents, lovers.",1 x 3 x 2 inches,B0BQMCXQSP,003,unisex-adult,none,none,TXCKEE,none,none,#10,none,none,Product Description
